本表为2003年由滚石杂志所评选出史上一百大吉他手的排行的名单。
排名	乐手		乐团
001	Jimi Hendrix
002	Duane Allman	the Allman Brothers Band
003	B·B·King
004	Eric Clapton
005	Robert Johnson	
006	Chuck Berry	
007	Stevie Ray Vaughan
008	Ry Cooder	
009	Jimmy Page	Led Zeppelin
010	Keith Richards	the Rolling Stones
011	Kirk Hammett	Metallica
012	Kurt Cobain	Nirvana
013	Jerry Garcia	the Grateful Dead
014	Jeff Beck	
015	Carlos Santana	
016	Johnny Ramone	the Ramones
017	Jack White	the White Stripes
018	John Frusciante	Red Hot Chili Peppers
019	Richard Thompson	
020	James Burton	
021	George Harrison	
022	Mike Bloomfield	
023	Warren Haynes	
024	The Edge	U2
025	Freddie King	
026	Tom Morello	Rage Against the Machine and Audioslave
027	Mark Knopfler	Dire Straits
028	Stephen Stills	
029	Ron Asheton	the Stooges
030	Buddy Guy	
031	Dick Dale	
032	John Cipollina	Quicksilver Messenger Service
033	Lee Ranaldo	Sonic Youth
034	Thurston Moore	Sonic Youth
035	John Fahey	
036	Steve Cropper	Booker T. and the MG's
037	Bo Diddley	
038	Peter Green	Fleetwood Mac
039	Brian May	Queen
040	John Fogerty	Creedence Clearwater Revival
041	Clarence White	the Byrds
042	Robert Fripp	King Crimson
043	Eddie Hazel	Funkadelic
044	Scotty Moore	
045	Frank Zappa	
046	Les Paul	
047	T-Bone Walker	
048	Joe Perry	Aerosmith
049	John McLaughlin	
050	Pete Townshend	The Who
051	Paul Kossoff	Free
052	Lou Reed	
053	Mickey Baker	
054	Jorma Kaukonen	Jefferson Airplane
055	Ritchie Blackmore	Deep Purple
056	Tom Verlaine	Television
057	Roy Buchanan	
058	Dickey Betts	
059	Jonny Greenwood	Radiohead
060	Ed O'Brien	Radiohead
061	Ike Turner	
062	Zoot Horn Rollo	the Magic Band
063	Danny Gatton	
064	Mick Ronson	
065	Hubert Sumlin	
066	Vernon Reid	Living Colour
067	Link Wray	
068	Jerry Miller	Moby Grape
069	Steve Howe	Yes
070	Eddie Van Halen	Van Halen
071	Lightnin' Hopkins	
072	Joni Mitchell
073	Trey Anastasio	Phish
074	Johnny Winter	
075	Adam Jones	Tool
076	Ali Farka Toure	
077	Henry Vestine	Canned Heat
078	Robbie Robertson	the Band
079	Cliff Gallup	the Blue Caps
080	Robert Quine	the Voidoids
081	Derek Trucks	
082	David Gilmour	Pink Floyd
083	Neil Young	
084	Eddie Cochran	
085	Randy Rhoads	
086	Tony Iommi	Black Sabbath
087	Joan Jett	
088	Dave Davies	the Kinks
089	D. Boon	the Minutemen
090	Glen Buxton	Alice Cooper
091	Robby Krieger	the Doors
092	Fred "Sonic" Smith	the MC5
093	Wayne Kramer	the MC5
094	Bert Jansch	
095	Kevin Shields	My Bloody Valentine
096	Angus Young	AC/DC
097	Robert Randolph	
098	Leigh Stephens	Blue Cheer
099	Greg Ginn	Black Flag
100	Kim Thayil	Soundgarden
